Module Code,Module Title,Major Tag,Major Tag 2,Major Tag 3,Major Tag 4,Tag 1,Tag 2,Description
YHU2215,Drawing Methods,Arts and Humanities,,,,,,"This module introduces students to the skills and techniques, concepts and practices involved in Contemporary Drawing and exhibition making. Classes will use a range of drawing materials, and include notebook research, fieldtrips, talks and critical presentations. Students will develop a portfolio of drawings through class exercises and with tutorial advice, these will be developed in personal directions and focused themes for a final exhibition."
YHU2247,Dystopian Fiction,Literature,,,,,,"This course will address the issue of why dystopian writing exercises a fascination for the modern imagination. We will trace the broad genealogy of utopian thought through the ages; then examine how that has got inverted in the last two centuries. Issues addressed will include the relation of fiction to modernity, the impact of technological change and social transformations on life-systems, and how these are rendered in dystopian fiction. Reading for this course will entail close attention to the nature of speculative writing as both diagnostic and prophylactic in relation to the societies in which they are written."
YHU2252,Ancient Greek Philosophy,Philosophy,PPE,Global Antiquity,,,,"An overview of how philosophy—as both a mode of inquiry and a way of life—developed in Western antiquity. We will begin with the pre-Socratics, focus on Plato and Aristotle, and conclude with a brief look at later schools (such as the Epicureans, Stoics, and Sceptics). Topics include the nature of being, knowledge, the soul, virtue and happiness, and the city."
YHU2266,Introduction to Oil Painting,Arts and Humanities,,,,Intro Class,,"This module will teach students the basic skills in paint handling coupled with a practical knowledge of colour theory. Students will learn how artists controlled colour from examples in the history of painting. Students will learn about the intensity, temperature and value of a certain colour and how it relates to other colours when placed next to each other in a painting. The course fulfils the practice requirement within the structure of the Arts and Humanities."
YHU2268,Money,PPE,Philosophy,,,,,"NA (New class, brief not yet written, cannot be found online)"
YHU2269,Ethics and Politics of Sex,Philosophy,PPE,,,,,"In this course we consider the moral and political dimensions of sex understood as individual and social practice. Are sexual preferences, fantasies, behaviors, and traditions morally criticisable, and if so, how? What about sexual industries and institutions? In what ways do our sexual practices impede or advance present-day struggles for social equality?"
YHU2270,Contemporary Egalitarianism,Philosophy,PPE,,,,,"Is it unjust for a society to be unequal? If equality is desirable, what kind of equality? Equality of opportunity? Or equal welfare? Or equal capabilities? Contemporary political philosophy offers rich materials to answer these questions; we will read authors such as Rawls, Nozick, Cohen, Sen, and Anderson. The course satisfies the following dimensions of the Philosophy major: Skills, problems; Historical, new."
YHU2288,Queer Fictions,Literature,,,,,,"This course focuses on twentieth-century narratives that explore sexuality and gender issues in their socio-historical contexts. It examines adolescent attachments, sororal and brotherly love, friendship, etc., and how these relations tip over to homosociality and eroticism. As an introductory course, it familiarises students with debates on sexual identities and politics through analyses of fictional works from the US, UK, and Asia, offering a vocabulary for queer experience and perspectives that illuminate queer interiority and same-sex relations. Overall, the course reflects on and challenges fictions and critical approaches that are essentially ""queer."""
YHU2289,Ensemble Practice 1,Arts and Humanities,,,,,,"Performing in an ensemble is a powerfully integrative social activity. As a collective, ensembles consider ways in which to coordinate the synchrony/complementarity of actions performed by two or more individuals. Coordinating this synergy requires the exchange of information among individuals to facilitate understanding and prediction of others' intentions. This course will create musical dialogues, in any musical style, amongst vocal and instrumental performers and these combinations will be decided within the class group only. The skills in this course are designed to develop and refine ensemble cohesion and will encompass concepts such as deep listening, harmonization and improvisation."
YHU2290,History and Culture of Southeast Asia,History,,,,,,"This course will examine Southeast Asia from a historical and anthropological perspective. We will explore such questions as: can we speak of a “Southeast Asian” history and culture, or is Southeast Asia a product of external influences? How have colonialism and the nationality shaped Southeast Asia? What is the role of Buddhism, Islam, and Catholicism in Southeast Asian cultures? This course will not only chart the past (and future) of the region, but also apply the insights that we gain from studying Southeast Asia to how we understand the rest of the world."
YHU3205,Ming Imperial Voyages,History,,,,Historical Immersion,,"From 1405 to 1433, the Ming admiral Zheng He (Cheng Ho) led seven extravagant expeditions to kingdoms in Southeast Asia and around the Indian Ocean world, going as far as the African continent. In this Historical Immersion course, we will examine the life of this eunuch-admiral and explore the nature of his voyages. We will also study the policies and ambitions of Zheng He’s patron, the Emperor Yongle, and consider his lasting legacy today."
YHU3210D,Proseminar Lit Studies: How to Do Things with Literature,Literature,,,,Intro Class,Major Requirement,"The proseminar in literary studies introduces students to the comparative study of literary form. Students will engage with a range of theoretical and literary critical approaches, beginning with Plato and Aristotle and ending with contemporary Post-Colonial theory and new paradigms of World Literature. The course’s goal is largely methodological, offering students a critical toolbox to help frame their interpretations of literary texts."
YHU3216,Photojournalism,Arts and Humanities,Urban Studies,,,,,"This course will cover the practicalities of working as a visual journalist in today’s world. The evolving media landscape demands an awareness of the uses and meanings of images and a high degree of visual literacy. Besides covering the technical aspects of camera operation, post production and digital delivery, the curriculum will provide opportunity for critique and debate both of student’s work and current practitioners in the field. Real world assignments, discussions on ethics, business practices, exploration of the potential of new media and visits by guest speakers will all form part of the course."
YHU3221,Nietzsche: An Untimely Thinker and His Times,History,Philosophy,,,Historical Immersion,,"In the 1880s, the German philosopher Friedrich Nietzsche proclaimed the death of God and called for a new life-affirming philosophy to combat the rise of nihilism. Nietzsche, one of the most provocative thinkers of the nineteenth century, lived in an age of cultural tumult and intellectual transformation. This course provides a window into this period through a close engagement with Nietzsche’s writings, including his philosophical works, his personal correspondence, and his autobiography. Attention will also be paid to his friendship and subsequent disillusionment with the composer Richard Wagner."
YHU3223,The Self in Comparative Perspective,Philosophy,Global Antiquity,History,,,,"This course examines the notions of self and person, what it is to be an ‘I’, in a comparative philosophical context, drawing on key textual sources in translation, and comparing them to modern representations of the self. The course will raise questions about what are distinctive conceptualizations of self or person in traditional Hinduism and Christianity and how these differ from modern understandings, including distinct expectations regarding social role, gender, and anticipation of a future life. The course raises questions about what ways of thinking are shared and not shared between cultures and about hopes and expectations through the centuries."
YHU4238,The Female Image in Japanese Art and Literature,Arts and Humanities,Literature,,,,,"The course will examine the production, reception and interpretation of the female imagery and representation of gender roles for Japanese women through visual images and literary texts from the 11th to the 20th century, with an emphasis towards the modern period. The female image occupies a crucial part in understanding key historical and cultural developments in Japan, such as how the evolving influences of Westernization and modernity began to characterize Japanese society during the early decades of the 20th century. Students will analyse a wide range of materials from 11th century novel to literary pieces by renowned modern authors."
YHU3243,"Woolf, Historiography, and the Scene of the Modern",Literature,,,,Historical Immersion,,"Woolf lived in an era of tremendous historical-mindedness in which artists, writers, and historians were deeply engaged with how the past should be represented. Students will explore Woolf’s engagement in this debate through close analysis of her diaries, drafts, and published works as well as primary source materials (museum artifacts and contemporary newspapers) that help place her engagement in the social, cultural, and political issues of the early twentieth century. Was this engagement with the past at odds with a liberal belief in progress, or was the past, for Woolf, a causal entity to be interpreted for its historical difference?"
YHU3267,Classical Indian Philosophy of Language,Philosophy,PPE,Global Antiquity,,,,"Classical Indian Philosophy introduces students to major topics in linguistic analysis within the traditions of India. This course focuses on two questions: What is linguistic meaning? How do we understand what is meant? As the former question is embedded within the latter for Indian thinkers, the first third of the course will be spent on epistemology of testimony in Nyaya and Mima¿sa. The middle third of the course takes up the question of what meaning(s) are primary, both in terms of words and sentences. In the final third, we address meanings beyond primary: metaphor, bitextuality (punning), and suggested meaning."
YHU3276,The Historian's Craft,History,Urban Studies,,,Major Requirement,,"This is a hands-on course in which students will be introduced to the practices involved in historical research, writing, and presentation. Students will be exposed to a variety of models created by professional historians and evaluate the strengths and weaknesses of each. Direct engagement with primary sources will be a principal area of focus in this course."
YHU3286,Living & Dying in War: Kuo Pao Kun's The Spirits Play,Arts and Humanities,,,,Historical Immersion,,"In Kuo Pao Kun’s The Spirits Play, five Japanese spirits - a General, a Soldier, a Mother, a Nurse and a Poet - recall their life during World War II. In this module, students will study Japan’s national mobilisation for the war, and the daily life experience of those mobilised, by researching and examining a wide range of primary (e.g. oral history, propaganda films), secondary and cultural materials. Students will analyse and discuss Kuo’s portrayal of war-time experience with reference to materials they have gathered. In addition, students will create a short performance/creative work from these materials."
YHU3287,"Early Global Literatures and the World, 500-1500 CE",Literature,Global Affairs,History,Global Antiquity,,,"World systems theorists have formulated models of an economically interlinked world from the early modern period on, but the globalism of an earlier, premodern period of roughly a thousand years, 500-1500 CE—also known as the “Middle Ages”—is still insufficiently understood. World systems, moreover, emphasize the economic at the expense of the sociocultural. To sustain the social and cultural analysis of early globalisms, “Early Global Literatures and the World, 500-1500 CE”—a transhumanities course—closely examines human interactions across the planet in the longue durée through the focus of key literary-historical global texts."
YHU3288,Installation Art,Arts and Humanities,Environmental Studies,,,,,"The course will give students the opportunity to engage with space and place from a creative perspective. Approaches including site-specific, environmental art, ephemeral media, and other alternative methods will be explored. While making art ecological and social issues will be investigated while investigating alternative methods of exhibition. Students will gain familiarity with multiple uses of space in the practice of installation art. Students will draw upon basic visual media while learning to utilize new media, natural materials, sculpture, video and other media. The aim of this course is to develop one’s own language for expression that is sensitive to space."
YHU3289,"Beyond China: Sinophone Literature, Film, and Culture",Literature,Chinese Studies,,,,,"“China” and “Chinese” are no longer adequate terms for the study of Sinitic-language communities and cultures that evince politically tenuous and linguistically polyphonic relations with the People’s Republic of China. This course interrogates Sinophone Studies as a critical, interdisciplinary alternative to previous constructions of Chinese literature and culture tied to the nation-state and progressive narratives of modernity. Students will study fiction and films from Hong Kong, Malaysia, Singapore, Taiwan, the United States, and the PRC, along with critical works explaining the ways that diaspora, colonialism, comparative empires, and ethnic or minority studies have informed the rise of Sinophone Studies. All Chinese-language materials will be read in English translation."
YHU3290,Dante's Divine Comedy,Literature,Global Antiquity,,,,,"This course is a slow and philological reading Dante’s Divine Comedy, an undisputed masterwork of world literature. As the Italian poet narrates his vision of the world beyond, we will journey with him through Hell to Purgatory and ascend to Paradise and finally return to earth. We will pay special attention to the historical, intellectual and social world of the European Middle Ages and the fraught legacy of the classical tradition. Based on student interest, we might work on volume 2 of the Dante Journal of Singapore, highlighting the original research of the seminar participants."
YHU3291,"Sacrifice, Sex, and Power in Medieval Kashmir",Global Antiquity,,,,Historical Immersion,,"Kashmir became an important centre of philosophy, religion and literature in the early medieval period (850-1050), with Buddhism and different kinds of Hinduism vying with each other for royal patronage. Orthodox Brahmins performed sacrifice and practiced ritual purity, Buddhism cultivated inner purity of the mind that leads to salvation (nirva¿a), while new forms of Hinduism called Tantra rejected ritual purity in the belief that impurity – such as ritual sex outside caste – leads to power and success. This course will examine these concerns by focusing on a play, Much Ado About Religion, and a philosophical text, The Essence of Supreme Truth."
YHU4101,History Capstone Project,History,,,,Capstone,,"The History Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the History major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YHU4102,Literature Capstone Project,Literature,,,,Capstone,,"The Literature Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Literature major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YHU4103,Philosophy Capstone Project,Philosophy,,,,Capstone,,"The Philosophy Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Philosophy major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YHU4104,Arts and Humanities Capstone Project,Arts and Humanities,,,,Capstone,,"A capstone research project in this major can take different forms, depending on the student’s area of focus. This module supports the implementation of the capstone project through the development of self-regulated research excellence. Arts and Humanities students will pursue their research, construct creative works, and consider methodological issues together to critique and improve each other's written work in a seminar setting. Over the 13 weeks, students will fine-tune research skills as well as oral and written communication skills collaboratively. Experts from The Writers’ Centre, the Library, Arts Spaces and CIPE will also enhance the module."
YHU4204,Rise of the West and the Great Divergence,History,Anthropology,Global Affairs,Chinese Studies,,,"Why did Europe rise and China fall? Why did Europe achieve long-term sustained economic growth (the industrial revolution) in the eighteenth century, while China - perhaps the world’s most politically and technologically advanced empire at the time - declined dramatically? Why was Japan the only empire in Asia to catch up with Europe in the nineteenth century? We will attempt to answer these questions by examining the histories of Britain, Europe, China, India and Japan and by reading the major debates in economic history and sociology on the ‘rise of the west’ and the ‘great divergence.’"
YHU4206,The History of History,History,,,,Major Requirement,,"Practitioners of every discipline benefit from having an understanding of their discipline’s history. This is especially true for historians, whose work demands an acquaintance with the history of the writing practices and the modes of conceptualizing the past to which they are heirs. Through an engagement with foundational texts from the eighteenth century to the present, this course explores the emergence and development of modern historiography. Students will learn about the diverse ways in which the past has been represented, narrated, and interpreted; they will also examine how historians’ interpretations of the past are themselves imbedded in specific historical contexts."
YHU4234,"Trauma, Loss, Exile and the Literary Imagination",Literature,,,,,,"Since the colonial conquests of the 19th century that characterised the Arab world’s modern encounter with Europe, the region has been marked by a collective sense of trauma and loss, something that has continued into the 21st century. This course will explore the effects multiple foreign occupations, post-independence authoritarian regimes, and forced displacements have wrought on the literary and cultural production of the Middle East and North Africa. Special attention will be paid to minority writing in the region through the work of Arab Jewish and Christian authors who have often found themselves at the center of extraordinary violence."
YHU4235,Crisis and Continuity: Europe's 20th Century,History,,,,,,"This course systematically tackles Europe’s early 20th century history, including the histories of the First and Second World Wars and communism that still shape contemporary world politics. Crisis and Continuity will analyse primary sources, pamphlets, press, and secondary literature to provide students with a comparative and transnational understanding of the main social, economic, and political processes that shaped Europe’s 20th century. We will look at five crisis moments in European history and how the continent recovered from them, including the crisis of the First and Second World Wars, the Great Depression, 1989, and the current economic and migration crises."
YHU4236,New Media: Inquiries into Literature & Technology,Literature,,,,,,"No more adding of “new media”, media scholars have cried out over the recent years, to existing things when what we call “old media” was to quip a seminal phrasing, always already new. The same can be said for the communities and publics that media helped form. As ‘new media’ becomes increasingly ubiquitous in popular and scholarly discourse, we have lost sight of the term’s older origin as the mediation between cultures, politics, identities, and ideologies. Through media theory, literary narratives, films, and artworks, students will learn the post-hermeneutic turn in the humanities, where the idea of “text” is simply one of the dynamic effects of mediality."
YHU4237,Chinese Prose,Literature,Global Antiquity,Chinese Studies,,,,"This class will examine the Chinese prose (sanwen) tradition as it evolved from early historiographical and philosophical works of the Eastern Zhou through the collections of literary masters from the Tang, Song, and later imperial China. All the primary readings will be in the original classical Chinese, and these will be supplemented by secondary readings in both English and Chinese."
YID2201,Theory and Practice of Environmental Policymaking,Environmental Sciences,,,,,,"An introduction to the tools, methods, and theory of effective environmental policymaking at the local, national, regional, and global level, with primary focus on governmental policies. Students will explore the interplay of politics and policy to develop an understanding of the drivers of successful environmental policymaking from a comparative perspective. This course is a prerequisite for subsequent environmental-studies policy and policymaking courses."
YID3208,"Environmental Movements: Past, Present and Future",Environmental Sciences,,,,,,"This course covers the philosophy, goals, strategy and tactics of environmental movements. Students explore case studies of a diverse array of environmental movements across time and place, such as conservationist, deep ecology, anti-nuclear, anti-consumerist, corporate social responsibility and divestment campaigns. The final project asks students to analyse an ongoing movement in detail and recommend effective strategies for increasing global sustainability."
YID3214,Urban Ecological Systems,Environmental Sciences,,,,,,"With an increasingly urbanised human population the interaction of nature with the built environment and its human inhabitants is emerging as one of the greatest sources of both opportunity and inertia to goals of sustainability. In this course you will consider the extent to which urbanisation has changed natural ecosystems and led to the rise of a new urban ecology, and consider how humans can value and manage this in a socio-ecological context. We will then address how the confluence of climate change, globalisation and urbanisation are fundamentally altering our living space and the implications for human health and wellness."
YID4101,Environmental Studies Capstone Project,Environmental Sciences,,,,Capstone,,"The Environmental Studies Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Environmental Studies major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YID4202,Applied Environmental Research,Environmental Sciences,,,,,,"This seminar in an applied and collaborative problem-solving course that reproduced the dynamics of an innovative environmental-consulting firm while enhancing the ability of students to effectively contribute to multi-disciplinary research teams. The module is required of all students majoring in environmental studies, and is open only to those students."
YLC1202,Beginning Chinese 2,Languages,,,,,,This module is designed for 1) students who already possess some proficiency in spoken Chinese but no formal education in Chinese; 2) students returning from summer study abroad programs; and 3) non-heritage students with prior coursework in Chinese who wish to further develop their reading and writing skills in Chinese. Students will take a placement test prior to the beginning of the course.
YLC2202,Intermediate Chinese 2,Languages,,,,,,"This course is designed for students who completed Intermediate Chinese 1 (YLC2201) or have equivalent Chinese proficiency. It emphasizes the ability to communicate and function accurately and appropriately in Modern Chinese. Students will take a placement test prior to the beginning of the course. The course aims for students to: (1) acquire basic knowledge and communicative skills in speaking, listening, reading, and writing Chinese; (2) gain solid understanding of the cultural and social context of Chinese; (3) develop research skill to understand Chinese texts and culture by using Chinese input system and online dictionary, as well as useful online resources."
YLC3204,Advanced Chinese 2,Languages,,,,,,"The course is the continuation of Advanced Chinese 1 and prepares students to take further courses in advanced-level Chinese. It is designed for students who have studied at least two-and-a-half years of Chinese at the college level to achieve greater proficiency in oral and written uses of modern Mandarin. The course further develop language skills in listening, speaking, reading, and writing, with particular emphasis on enhancing reading and writing abilities. It builds upon the foundations of Advanced Chinese 1 yet differs in giving the students increased exposure to authentic written (and audio-visual) materials not specifically designed for classroom learning."
YLC3206,Advanced Chinese: Readings in Modern Chinese Literature,Languages,,,,,,This course is designed to promote the development of critical Chinese reading and writing skills. It aims to further improve the students’ Mandarin Chinese skills in all aspects. Students will gain access to the essence of Chinese culture as well as the charm of the language itself through notable works of modern Chinese literature. They will be introduced to significant topics concerning Chinese culture and history written in different styles and genres. Most of the texts are original and unabridged written by well-known authors such as Yuan Qiongqiong from Taiwan; Xixi from Hong Kong and Mo Yan from mainland China.
YLG1201,Beginning Ancient Greek,Languages,,,,,,"This is an introductory course of language instruction in ancient Attic Greek for beginners, designed to give students a decent reading level by the end of the semester. It offers four days a week instruction. As well as gaining an introductory familiarity with the syntax and vocabulary of ancient Greek texts, students will develop an associated cultural knowledge in ancient Greek society and literary/ dramatic production."
YLL2201,Intermediate Latin,Languages,,,,,,"This intensive course offers four days a week of language instruction and follows on from Beginning Latin. Students will continue developing linguistic and cultural knowledge in ancient Mediterranean antiquity, and achieve a relatively strong reading level by the end of the semester."
YLS1201,Beginning Spanish 1,Languages,,,,,,"Beginning Spanish 1 is the introductory module to the language and culture of the Hispanic world. This course is designed to help you develop a basic ability to read, write, understand, and speak Spanish as well as to expand students' cultural competency. Since all linguistic skills cannot be fully developed in Beginning Spanish 1 alone, stress will be placed on the acquisition of basic structures, which will be developed and reinforced in subsequent modules."
YLS1202,Beginning Spanish 2,Languages,,,,,,"This module is a continuation of Beginning Spanish 1. Beginning Spanish 2 pays close attention to aural/oral practice while strengthening basic grammar skills, writing, and reading comprehension. The module covers the second half of the eBook used in Beginning Spanish 1 and prepares students for Study Abroad opportunities via CIPE in their second summer at Yale-NUS or beyond."
YLS2201,Intermediate Spanish 1,Languages,,,,,,"This module targets students who have completed the Beginning Spanish sequence or have had significant experience with the language (e.g., Study Abroad during their first summer at Yale-NUS or studied Spanish in high school). It offers a combination of listening and speaking practice with a review of key concepts of Spanish grammar via targeted reading and writing activities. This module continues to incorporate Hispanic cultural elements through representative texts and audiovisual materials from the Spanish-speaking world."
YLS2202,Intermediate Spanish 2,Languages,,,,,,"This module is a continuation of Intermediate Spanish 1. Students taking this module will build upon what was covered in the first half and continue to expand their command of written and spoken Spanish. Intermediate Spanish 2 pays close attention to aural/oral practice while strengthening more complex grammar skills (e.g., the subjunctive, passive voice), writing, and reading comprehension. The module covers the second half of the eBook used in Intermediate Spanish 1 (Mas) and prepares students for Study Abroad opportunities via CIPE at Yale-NUS and NUS."
YLS3201,"Advanced Spanish: Spain, a Mosaic of Cultures",Languages,,,,,,"Students taking this module will build upon the material and topics covered in the introductory and intermediate sequences to expand their command of written and spoken Spanish while honing their literary analysis skills. The course will focus on a representative selection of texts (e.g., short stories, novellas) and films from various regions of the Iberian Peninsula. Students will analyze and contextualize these works via in-class discussions and presentations on the history, traditions, and ideas embedded within them. This module will emphasize students’ engagement with the ideas in the texts paying attention to stylistics, genre, and voice in their work."
YSC1201,Human Biology,Life Sciences,,,,,,"This course examines the anatomy and physiology of humans and other animals in an evolutionary and comparative framework. Major themes include the integration among physiological systems to maintain homeostasis; understanding biological structures as statements of homology; suboptimal or pathological adaptive solutions as the product of phylogenetic constraints or physiological trade-offs; and human adaptive plasticity in diverse environments. This course should be of interest to students wanting to learn about human and animal biology, chronic and metabolic pathologies in contemporary urban societies, or students considering careers in medical, veterinary, or pharmaceutical science."
YSC1212,Introduction to Computer Science,MCS,,,,Intro Class,Major Requirement,"Computer science has improved human life dramatically in the last 50 years. This course explains how computational tasks are solved and computers are programmed. You will learn how to be a more careful and methodical thinker. Moreover, millions of people around the world enjoy programming and you can too!"
YSC1213,General Physics: Electronics and Non-Linear Dynamics,Physical Sciences,,,,,,"This introductory physics course uses the platform of hands-on electronics to introduce students to concepts in electro-magnetism including electrostatics and electrodynamics. Using electronic components to build linear and non-linear oscillators, students will be introduced to concepts in nonlinear dynamics and chaos theory. The course is intended for both science majors and also non-majors."
YSC2209,Proof,MCS,,,,Intro Class,Major Requirement,"Mathematicians and computer scientists write proofs: convincing arguments, combining clear and concise language, computations and symbolic manipulation, illustrations and tables. By reading, writing, and revising proofs, students will be prepared for modern topics in analysis, algebra, geometry, and theoretical computer science. Students will write proofs that utilize direct deduction and proof by contradiction, complicated logical structures with cases, and mathematical induction. Students will acquire a thorough knowledge of naïve set theory, including sets and functions, equivalence relations and classes, cardinal and ordinal arithmetic. Topics in discrete mathematics will include the combinatorics of finite structures such as graphs and trees."
YSC2216,Evolutionary Biology,Life Sciences,,,,,,"This course aims to explore the study of biological evolution from a scientific standpoint. It covers topics such as population genetics, quantitative genetics and genomics, analysis of adaptation within and among species, phylogenetic analysis, and macroevolutionary patterns. Some major questions we will address include: Have organisms evolved for “the good of the species”? Why do some animals cooperate, and why do we see some patterns in the behaviours of the sexes? We’ll examine these topics in lecture, readings of both primary and review literature, discussion, and laboratory exercises which focus on the basics of analytical techniques used in evolutionary studies."
YSC2221,Introduction to Python,MCS,,,,Methods Class,,"This course introduces Python, a widely used high-level programming language. Its popularity is comparable to Java or C/C++. This means Python is practically useful and convenient to program and learn, since there are many resources/communities on the internet and many supporting libraries. Python was designed to be easy to learn, though many serious applications have been built based on it."
YSC2224,Organic Chemistry with Laboratory,Physical Sciences,,,,Major Requirement,,"The structure, properties, and reactivity of carbon-based molecules will be studied in depth, offering a foundation to understanding not only pharmaceuticals, dyes, polymers and other petrochemicals, but also the biochemical processes that constitute life."
YSC2225,Physical Chemistry,Physical Sciences,,,,,,The course aims to introduce the students to the physical chemistry concepts that are essential in understanding and investigating the molecular and macroscopic world. Students will also learn how quantum and computational chemistry can be applied in the prediction of molecular properties and its relevance to spectroscopy.
YSC2227,C: A Language for Science and Engineering,MCS,,,,Methods Class,,"C is one of the most commonly used programming languages, especially in science, engineering and electronics. Many operating systems and microcontrollers are at least partly coded in C. C is lightweight, fast and offers a complex memory management system. This apparent simplicity does not mean that it is simple to learn and master though, as it requires deep understanding of how memory works and how data is represented. In this course, we will cover the C language along with memory management and segmentation. C can be useful for Capstones in applied mathematics and natural sciences."
YSC2231,Foundations of Neuroscience,Life Sciences,Psychology,,,,,"This course provides an introduction to neurobiology and equips students with the background necessary to understand key concepts and fundamental questions in studies of the nervous system and cognition. Students will learn about cellular and molecular neurobiology, neurophysiology, neuroanatomy, and neuroethology. This course should be of interest to students contemplating further studies in neuroscience, psychology, neuropharmacology, and behavioural ecology, or students considering careers in medical, veterinary, and behavioural sciences."
YSC2232,Linear Algebra,MCS,,,,Major Requirement,,"A first course in linear algebra of finite-dimensional real and complex vector spaces, balancing theoretical and computational material. The course covers vectors and linear transformations, building geometric intuition, algebraic aptitude, and computational proficiency. Topics include spaces and subspaces, linear maps, linear independence and spanning, basis, and representations by coordinates and matrices. The theory of linear operators is developed, including eigenvalues and eigenvectors, self-adjoint operators, the spectral theorem, and the singular value decomposition. Some topics from numerical linear algebra, especially implementation of algorithms and assessment of their efficiency are included. Applications to statistics, economics, engineering and science are presented."
YSC3201,Genetics,Life Sciences,,,,,,"This course illustrates basic principles of genetics using examples from prokaryote and eukaryote organisms. It emphasizes classical genetic techniques and how genetics is used to gain understanding of whole organisms. The gene, its context and the genome are the primary concepts covered. The focus will be on Drosophila developmental genetics, yeast cell biology and human disease."
YSC3206,Introduction to Real Analysis,MCS,Physical Sciences,,,,,"This course embarks on a deep study of the real numbers and functions of a single real variable. Fundamental properties of real numbers – arithmetic, distance, limit, convergence, order – are developed from scratch. From there, the course delves into the inner workings of calculus, the general notions of continuity, differentiability, measure, and integration, for functions of one real variable."
