"title","module_code","semester_code"
"Southwest Asia and North Africa: Societies and Politics","YSS2236","AY2021-2"
"Nuclear Politics","YSS2237","AY2021-2"
"Contemporary Left Politics and Movements","YSS2241","AY2021-2"
"Human Rights","YSS3211","AY2021-2"
"Chinese Politics","YSS3212","AY2021-2"
"Conflict and Cooperation in East Asia","YSS3226","AY2021-2"
"International Development","YSS3255","AY2021-2"
"Gender and International Development","YSS3316","AY2021-2"
"Global Affairs Capstone Project","YSS4101","AY2021-2"
"Empirical Qualitative Analysis in Global Affairs","YSS4256","AY2021-2"
"Socrates on Trial","YHU3294","AY2021-2"
"Sex, Decadence and Decay: Weimar Berlin (1918-33)","YHU3299","AY2021-2"
"Philippine Literature: American Period","YHU3306","AY2021-2"
"Hollywood in the 1930s","YHU3312","AY2021-2"
"The Amarna Letters: Diplomacy in the Late Bronze Age","YHU3313","AY2021-2"
"Singapore under Japanese Occupation","YHU3316","AY2021-2"
"Contemporary Korean Cinema and the Colonial Past","YHU3328","AY2021-2"
"The Arab Defeat of 1967 and its Aesthetic Afterlives","YHU3333","AY2021-2"
"Goodbye Mao: China’s Post Socialist Transformations","YHU3336","AY2021-2"
"Rome in Antiquity","YHU3339","AY2021-2"
"The Bacchae of Euripides","YHU3340","AY2021-2"
"Geometry and the Emergence of Perspective","YSC3239","AY2021-2"
"Alfred Russel Wallace and the Work of Natural History","YSS3301","AY2021-2"
"The Atlantic World","YHU2228","AY2021-2"
"History and Philosophy of the Scientific Revolution","YHU2244","AY2021-2"
"Rebellion and Revolution in Vietnam History","YHU3285","AY2021-2"
"Nasty Girls: Gender, Sexuality & Race in Early America","YHU3295","AY2021-2"
"Money and the Rise of the State","YHU3337","AY2021-2"
"The Problem of Evil from the Enlightenment to Auschwitz","YHU4212","AY2021-2"
"The Population Bomb: Biopolitics & Geopolitics","YHU4246","AY2021-2"
"Beginning Chinese 1","YLC1201","AY2021-2"
"Intermediate Chinese 1","YLC2201","AY2021-2"
"Advanced Chinese 1","YLC3203","AY2021-2"
"Advanced Readings in Chinese: Cinematic and Literary Texts","YLC3205","AY2021-2"
"Intermediate Ancient Greek","YLG2202","AY2021-2"
"Beginning Singapore Sign Language","YLN1201","AY2021-2"
"Beginning Spanish 1","YLS1201","AY2021-2"
"Intermediate Spanish 1","YLS2201","AY2021-2"
"Intermediate Spanish 2","YLS2202","AY2021-2"
"Advanced Spanish: Spain, a Mosaic of Cultures","YLS3201","AY2021-2"
"Biology Laboratory","YSC2202","AY2021-2"
"Field Research","YSC2235","AY2021-2"
"Urban Wildlife Studies","YSC2250","AY2021-2"
"Biochemistry","YSC3214","AY2021-2"
"Cell Biology","YSC3233","AY2021-2"
"Animal Behaviour","YSC3235","AY2021-2"
"Developmental Biology","YSC3238","AY2021-2"
"Computational and Systems Biology","YSC3241","AY2021-2"
"Coral Reef Ecology and Environmental Change","YSC3253","AY2021-2"
"Molecular Neuroscience - Genes, Brains, and Behaviour","YSC4229","AY2021-2"
"Roman Literary Cultures","YHU2211","AY2021-2"
"Classical Chinese","YHU2212","AY2021-2"
"World Literature and its Discontents","YHU2233","AY2021-2"
"Postcolonial Literatures: An Introduction","YHU2277","AY2021-2"
"Latin American Realities","YHU3302","AY2021-2"
"Global Modernisms","YHU3310","AY2021-2"
"Confronting the Holocaust in Text, Film and Music","YHU3338","AY2021-2"
"Death, Mourning and Memory in Medieval Literature","YHU3345","AY2021-2"
"“New” Media: Inquiries into Literature & Technology","YHU4236","AY2021-2"
"Chinese Prose","YHU4237","AY2021-2"
"The Global Renaissance","YHU4254","AY2021-2"
"Introduction to Computer Science","YSC1212","AY2021-2"
"Calculus","YSC1216","AY2021-2"
"Proof","YSC2209","AY2021-2"
"Data Analysis and Visualization (DAVis) with R","YSC2210","AY2021-2"
"Introductory Data Structures and Algorithms","YSC2229","AY2021-2"
"Linear Algebra","YSC2232","AY2021-2"
"Introduction to Data Science","YSC2239","AY2021-2"
"Programming for Data Science","YSC2244","AY2021-2"
"Modelling and Optimization","YSC2254","AY2021-2"
"Programming Operating Systems, Interfaces & eXtras","YSC3217","AY2021-2"
"Statistical Inference","YSC3249","AY2021-2"
"Statistical Computing","YSC3252","AY2021-2"
"Stochastic Processes and Models (SPaM)","YSC4225","AY2021-2"
"Maths, Computational & Statistical Sci Capstone Project","YSC4103","AY2021-2"
"Ordinary and Partial Differential Equations","YSC4220","AY2021-2"
"Data Science Accelerator","YSC4224","AY2021-2"
"Data Science in Quantitative Finance","YSC4228","AY2021-2"
"Philosophy as a Way of Life","YHU2279","AY2021-2"
"Classical Indian Philosophy","YHU2315","AY2021-2"
"Virtue, Reason and Nature","YHU2321","AY2021-2"
"Indian Buddhist Philosophy","YHU3214","AY2021-2"
"The Political Philosophy of Spinoza","YHU4220","AY2021-2"
"Solidarity and Social Change","YHU4256","AY2021-2"
"General Chemistry","YSC1207","AY2021-2"
"Classical Mechanics","YSC2203","AY2021-2"
"Mathematical Methods in Physical Sciences","YSC2205","AY2021-2"
"Organic Chemistry Laboratory","YSC2222","AY2021-2"
"Accelerated Organic Chemistry","YSC2224","AY2021-2"
"Experimental Methods in Physical Sciences","YSC2246","AY2021-2"
"Experimental Physics Laboratory","YSC3213","AY2021-2"
"Statistical Thermodynamics","YSC3224","AY2021-2"
"Environmental Chemistry: How The Science Informs Our Policies","YSC3259","AY2021-2"
"Solid State Physics","YSC4207","AY2021-2"
"Physical Sciences Research Seminar","YSC4209","AY2021-2"
"Introduction to Black Holes","YSC1219","AY2021-2"
"More is Different: Emergence in Physical Systems","YSC1220","AY2021-2"
"Science Skills Workshop","YSC2251","AY2021-2"
"Introduction to Comparative Politics","YSS1206","AY2021-2"
"Ancient Greek Political Philosophy","YSS2208","AY2021-2"
"The Political Thought of the Enlightenment","YSS2239","AY2021-2"
"Democracy and Truth","YSS2243","AY2021-2"
"Emotions and Politics","YSS3263","AY2021-2"
"Colonialism and Decolonization","YSS3302","AY2021-2"
"The Political Economy of Capitalism","YSS3305","AY2021-2"
"Populism","YSS3310","AY2021-2"
"Singapore Politics","YSS3314","AY2021-2"
"Political Order and One-Party Rule","YSS4224","AY2021-2"
"Introduction to Psychology","YSS2201","AY2021-2"
"Statistics and Research Methods for Psychology","YSS2216","AY2021-2"
"Cognitive Psychology","YSS3215","AY2021-2"
"Social Psychology","YSS3278","AY2021-2"
"Social Psychology Lab","YSS3279","AY2021-2"
"Adolescent Development","YSS3317","AY2021-2"
"Psychology Capstone Project","YSS4102","AY2021-2"
"Psychological Therapies","YSS4263","AY2021-2"
"Psychology of Social Conformity","YSS4264","AY2021-2"
"Methods in the Social Sciences","YSS3231","AY2021-2"
"Adelaide to Zhuhai: Cities in Comparative Perspective","YSS2220","AY2021-2"
"Urban Theory","YSS3222","AY2021-2"
"Urban Spatial Representation","YSS3235","AY2021-2"
"Geospatial & Demographic Methods","YSS3273","AY2021-2"
"Urban Singapore","YSS3274","AY2021-2"
"Healthy and Resilient Cities","YSS3284","AY2021-2"
"Global and Transnational Urbanism","YSS4247","AY2021-2"
